timestamp,Starboard Thermal Radiator Rotating Joint (TRRJ) Position [°],Loop A (Stbd) Pump Flowrate [kg/hr],Loop A (Stbd) PM Out Press [kPa],Loop A (Stbd) PM Out Temp [°C]
1751615400,24.78881,3371.6665,1941.05066,3.95199
1751615460,24.78881,3371.6665,1941.05066,3.95199
1751615520,24.78881,3371.6665,1941.05066,3.95199
1751615580,24.7998,3371.6665,1941.05066,3.76427
1751615640,24.79431,3385.11353,1941.05066,3.76427
1751615700,24.78881,3358.21924,1941.05066,3.76427
1751615760,24.78881,3385.11353,1941.05066,3.76427
1751615820,24.7998,3358.21924,1941.05066,3.76427
1751615880,24.78881,3358.21924,1941.05066,3.76427
1751615940,24.78881,3385.11353,1941.05066,3.76427
1751616000,24.79431,3371.6665,1941.05066,3.76427
1751616060,24.7998,3371.6665,1941.05066,3.76427
1751616120,24.7998,3371.6665,1943.16321,3.76427
1751616180,24.79431,3385.11353,1943.16321,3.76427
1751616240,24.78881,3371.6665,1943.16321,3.82685
1751616300,24.79431,3385.11353,1943.16321,3.82685
1751616360,24.7998,3358.21924,1943.16321,3.82685
1751616420,24.78881,3358.21924,1943.16321,3.82685
1751616480,24.79431,3371.6665,1943.16321,3.82685
1751616540,24.78881,3371.6665,1943.16321,3.88942
1751616600,24.7998,3371.6665,1943.16321,3.88942
1751616660,24.78881,3385.11353,1943.16321,3.88942
1751616720,24.7998,3385.11353,1943.16321,3.95199
1751616780,24.7998,3371.6665,1943.16321,4.01456
1751616840,24.7998,3371.6665,1943.16321,4.01456
1751616900,24.7998,3371.6665,1943.16321,4.01456
