timestamp,SSRMS SR Measured Joint Position [°],SSRMS SY Measured Joint Position [°],SSRMS SP Measured Joint Position [°],SSRMS EP Measured Joint Position [°],SSRMS WP Measured Joint Position [°],SSRMS WY Measured Joint Position [°],SSRMS WR Measured Joint Position [°]
1751797980,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798040,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798100,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798160,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798220,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798280,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798340,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798400,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798460,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798520,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798580,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798640,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798700,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798760,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798820,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798880,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751798940,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799000,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799060,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799120,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799180,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799240,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799300,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799360,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799420,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799480,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799540,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799600,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799660,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799720,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799780,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799840,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799900,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751799960,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800020,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800080,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
